Date,Description,Amount,Balance,Category
2024-10-09,Gym Membership,-362.44,4637.56,Other
2024-10-04,Rent Payment,267.46,4905.02,Rent
2024-10-02,Gym Membership,2747.71,7652.7300000000005,Other
2024-10-17,Grocery Store,702.51,8355.24,Food
2024-10-23,Netflix Subscription,2586.85,10942.09,Entertainment
2024-10-19,Online Shopping,712.42,11654.51,Other
2024-10-06,Electricity Bill,3673.44,15327.95,Bills
2024-10-05,Online Shopping,1371.38,16699.33,Other
2024-10-13,Apartment Rent,62.16,16761.49,Rent
2024-10-20,Supermarket,4161.22,20922.710000000003,Food
2024-10-18,Electricity Bill,3513.52,24436.230000000003,Bills
2024-10-10,Cafe,-66.6,24369.630000000005,Food
2024-10-23,Clothing Store,2675.44,27045.070000000003,Other
2024-10-25,Grocery Store,3136.95,30182.020000000004,Food
2024-10-28,Electricity Bill,4204.25,34386.270000000004,Bills
2024-10-21,Cafe,1028.85,35415.12,Food
2024-10-07,Water Bill,1536.0,36951.12,Bills
2024-10-22,Clothing Store,3360.01,40311.130000000005,Other
2024-10-06,Gym Membership,2850.22,43161.350000000006,Other
2024-10-13,Spotify Subscription,398.71,43560.060000000005,Entertainment
2024-10-27,Water Bill,3265.38,46825.44,Bills
2024-10-26,Restaurant,4019.91,50845.350000000006,Food
2024-10-07,Phone Bill,972.57,51817.920000000006,Bills
2024-10-16,Movie Ticket,669.45,52487.37,Entertainment
2024-10-05,Bonus Payment,285.79,52773.16,Salary
2024-10-14,Apartment Rent,3608.58,56381.740000000005,Rent
2024-10-05,Concert Ticket,1490.98,57872.72000000001,Entertainment
2024-10-02,Concert Ticket,0.0,57872.72000000001,Entertainment
2024-10-26,Restaurant,2950.95,60823.670000000006,Food
2024-10-13,Online Shopping,2780.25,63603.920000000006,Other
2024-10-18,Bonus Payment,2410.13,66014.05,Salary
2024-10-18,Grocery Store,3249.41,69263.46,Food
2024-10-14,Internet Bill,113.54,69377.0,Bills
2024-10-24,Apartment Rent,-482.15,68894.85,Rent
2024-10-25,Clothing Store,4845.38,73740.23000000001,Other
2024-10-10,Rent Payment,4287.85,78028.08000000002,Rent
2024-10-25,Book Purchase,340.62,78368.70000000001,Other
2024-10-16,Rent Payment,2794.2,81162.90000000001,Rent
2024-10-29,Grocery Store,4610.04,85772.94,Food
2024-10-29,Water Bill,-181.41,85591.53,Bills
2024-10-16,Netflix Subscription,-28.91,85562.62,Entertainment
2024-10-16,Restaurant,206.15,85768.76999999999,Food
2024-10-28,Spotify Subscription,957.81,86726.57999999999,Entertainment
2024-10-30,Concert Ticket,4804.0,91530.57999999999,Entertainment
2024-10-13,Spotify Subscription,3421.22,94951.79999999999,Entertainment
2024-10-17,Clothing Store,1909.55,96861.34999999999,Other
2024-10-03,Salary Payment,863.48,97724.82999999999,Salary
2024-10-08,Electricity Bill,2735.7,100460.52999999998,Bills
2024-10-23,Spotify Subscription,-460.45,100000.07999999999,Entertainment
2024-10-29,Gym Membership,759.18,100759.25999999998,Other
2024-10-08,Supermarket,-110.28,100648.97999999998,Food
2024-10-05,Phone Bill,678.3,101327.27999999998,Bills
2024-10-16,Online Shopping,836.48,102163.75999999998,Other
2024-10-22,Salary Payment,18.79,102182.54999999997,Salary
2024-10-15,Bonus Payment,1829.68,104012.22999999997,Salary
2024-10-21,Gym Membership,3203.51,107215.73999999996,Other
2024-10-11,Grocery Store,1714.42,108930.15999999996,Food
